"No","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-11 11:47:00,FALSE,NA,"972801056265637888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melissaskanes",7,TRUE,FALSE,NA,NA
"2","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-11 11:13:54,FALSE,NA,"972792727959232514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melanie___rose",8,TRUE,FALSE,NA,NA
"3","@CMA_Docs to add non-physician to Board to bring patient perspective, pending approval at August AGM #hcsmca",FALSE,0,"CMA_Docs",2018-03-11 10:50:26,FALSE,NA,"972786821561245696","59143817","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pat_health",0,FALSE,FALSE,NA,NA
"4","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-11 10:20:16,FALSE,NA,"972779229149650944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CherylJefford",7,TRUE,FALSE,NA,NA
"5","@imaginarymou @Montyson @DavidJuurlink @NormOrnstein @heshiegreshie @GPTaylorMRD @CMA_Docs @CIHR_IRSC Don't stress… https://t.co/7LUDQHsbVd",FALSE,0,"imaginarymou",2018-03-11 05:48:03,TRUE,"972555213407100928","972710722554621953","726276051572158464","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LadyJulie7",0,FALSE,FALSE,NA,NA
"6","RT @DocSandyB: Great call out to all white males of privilege to acknowledge and use our positions and advantages to support and empower wo…",FALSE,0,NA,2018-03-11 05:40:09,FALSE,NA,"972708736396660736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidEsser2",8,TRUE,FALSE,NA,NA
"7","RT @Monika_Dutt: Thrilled to hear this!

MT @drgigiosler At the August 2018 @CMA_Docs meeting in #Winnipeg there will be on-site, complimen…",FALSE,0,NA,2018-03-11 04:22:47,FALSE,NA,"972689265980092416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrRitaMc",3,TRUE,FALSE,NA,NA
"8","I hate the term “top surgery”. This is medically unnecessary mastectomy surgery.  Surgical removal of HEALTHY  brea… https://t.co/O7zrNQM14S",FALSE,3,NA,2018-03-11 04:13:10,TRUE,NA,"972686846030303232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mumtears1",0,FALSE,FALSE,NA,NA
"9","RT @CARadsCEO: Super science. Legendary hospitality. NLAR annual meeting in Cornerbrook. #radiology #Newfoundland @_nlma @NLtweets @CARadio…",FALSE,0,NA,2018-03-11 03:18:29,FALSE,NA,"972673084510449665",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Nwadden",7,TRUE,FALSE,NA,NA
"10","RT @dharmurology: Rest in peace Dr. Furlong. You were a great physician, healthcare advocate and a fine human being. We will miss you. #nbp…",FALSE,0,NA,2018-03-11 03:07:46,FALSE,NA,"972670386952392710",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","docrinki",1,TRUE,FALSE,NA,NA
